GJ1001A;LTT20
GJ1;LTT23
LHS1019;LTT38
L217-28;LTT57
GJ1005;LTT114
LHS1051;GJ3018
GJ17.1;LTT178
LHS5004a;LTT183
GJ1009;BPM46239
LHS1064;LTT197
LTT220;LTT220
GJ1012;LTT254
GJ1013;LHS113
LTT313;LTT313
GJ1016;LTT377
LHS1134;LTT400
L87-2;UCAC4129-000857
GJ46;LTT548
LP707-16;G270-164
GJ54;LTT660
GJ54.1;LTT670
L221-60;LTT692
GJ1036;CD-36491
GJ57;LTT745
LHS142;LTT838
GJ65;GJ65
L870-44;LTT952
L294-92;L294-92
L173-39;LTT973
GJ78;LTT996
GJ79;LTT1005
LTT1010;LTT1010
L88-43;L88-43
L655-17;LTT1081
GJ84;LTT1092
LHS1339;LTT1101
GJ85;LTT1112
LHS1347;LTT1122
LHS1351;LTT1137
GJ91;LTT1146
LHS1373;LTT1159
LHS1377;LTT1165
GJ1046;LTT1180
L225-57;L225-57
GJ103;LTT1261
L174-28;L174-28
GJ1050;LTT1304
LP993-115;LTT1339
CD-53570;LTT1363
GJ118;LTT1379
LTT1445;LTT1445
GJ121.1;LTT1450
LHS1491;LP771-77
GJ1054;LTT1479
GJ130;LTT1516
LP831-45;LP831-45
LP831-68;LP831-68
LP994-96;LP994-96
LTT17505;LTT17505
GJ145;LTT1678
LHS1572;LTT1735
G80-21;G80-21
GJ1065;G160-28
LHS1630;LHS1630
GJ163;LTT1881
LP715-51;LP715-51
LP834-32;LP834-32
L591-42;LTT2043
GJ173;LTT2050
LP715-39;LP715-39
LP776-25;LP776-25
GJ180;LTT2116
LHS1723;LP656-38
GJ185;LTT2151
LHS1731;LTT2153
GJ190;LTT2179
GJ191;LTT2200
GJ1077;LTT2247
L449-1;CD-352213
LP717-36;LP717-36
GJ204.2;LTT2284
GJ205;LTT2293
LHS5109;LTT2321
LP837-19;LP837-19
GJ218;LTT2378
LP837-53;LP837-53
LTT2449;LTT2449
LP838-16;LP838-16
GJ229;LTT2475
GJ1088;LTT2480
GJ234;LTT2564
L32-9;L32-9
GJ238;LTT2594
LP780-32;LP780-32
CD-551514;CD-551514
LP780-23;LP780-23
NLTT16977;NLTT16977
L597-18;LTT2631
GJ257;LTT2699
GJ263;LTT2725
LHS225;LTT2729
GJ2055;LTT2742
LP840-16;LP840-16
L136-37;L136-37
GJ1097;LHS1920
GJ2060;LTT2853
LHS1932;LTT2899
L528-16;L528-16
LHS1935;LTT2906
L34-26;L34-26
LHS1955;LTT2982
GJ298;LTT3071
GJ300;LTT3080
LHS1991;LTT3082
LHS1992;LTT3096
LP843-16;LP843-16
L98-59;L98-59
LHS2010;LTT3139
LTT3201;LTT3201
GJ317;LTT3215
GJ326;LTT3279
GJ334;LTT3357
L749-34;LTT3412
LHS2122;LTT3423
GJ341;LTT3453
Ross439;LTT3485
GJ352;LTT3500
GJ357;LTT3534
GJ358;LTT3547
LHS2177;LTT3561
GJ1128;LTT3572
GJ367;LTT3579
GJ1129;LTT3578
LTT3613;LTT3613
GJ369;LTT3614
LTT3616;LTT3616
GJ372;LTT3625
LP847-48;LP847-48
GJ375;LTT3661
GJ377;LTT3675
GJ381;LTT3730
GJ382;LTT3734
GJ386;LTT3770
LTT3790;LTT3790
LDS303;**LDS303
L142-86;L142-86
GJ390;LTT3825
LTT3877;LTT3877
GJ399;LTT3905
GJ1135;LTT3919
LP905-56;LP905-56
LHS2335;GJ3634
HIP54373;BD-183106
GJ413.1;LTT4108
GJ422;LTT4167
GJ1144;LTT4164
GJ1145;LTT4170
LP792-17;LP792-17
LP672-42;LP672-42
GJ431;LTT4255
L324-51;L324-51
LHS2427;LTT4281
L66-86;L66-86
GJ433;LTT4290
GJ438;LTT4348
LP793-33;LP793-33
GJ443;LTT4372
LHS2460;LP733-24
GJ452;LTT4416
LHS5205;LTT4477
L829-10;LTT4484
LP734-30;LP734-30
LHS2520;LP734-32
L758-108;LTT4562
NLTT30359;L18-22
L38-47;L38-47
GJ465;LTT4685
LP735-48;Ross946
LP735-11;LTT4730
L327-121;L327-121
GJ477;LTT4791
GJ479;LTT4806
LHS337;LTT4818
GJ480.1;LTT4836
LHS2634;LTT4891
LP853-34;LP853-34
GJ488;LTT4913
LHS5231;LHS5231
LTT4969;LTT4969
LHS2668;LTT4974
LTT5031;LTT5031
LHS346;LTT5034
WT392;WT392
LHS2718;LTT5131
LHS2729;LTT5161
GJ510;LTT5179
Ross486A;LTT5199
LTT5282;LTT5282
GJ521.1;LTT5296
LHS2794;LTT5346
LHS2813;LTT5376
GJ1181;LTT5419
LHS2836;LTT5455
GJ536;LTT5470
2MASSJ14040823-6614378;L106-15
CD-3011219;CD-3011219
GJ2106;LTT5557
GJ545;LTT5641
GJ553;LTT5732
GJ552.1;LTT5728
GJ553.1;LTT5734
GJ555;LTT5759
GJ563.2A;LTT5883
LP859-11;LP859-11
G151-37;LTT6084
LHS3056;LTT6104
GJ581;LTT6112
GJ588;LTT6210
GJ590;LTT6228
GJ592;LTT6233
GJ595;LTT6273
LHS3117;LTT6305
GJ606;LTT6377
LP804-27;LP804-27
LHS3169;LTT6474
CD-3710765;CD-3710765
GJ620;LTT6535
GJ622;LTT6553
GJ628;LTT6580
LHS423;LTT6625
GJ633;LTT6662
GJ634;LTT6665
GJ637;LTT6691
LP806-8;BD-154394
GJ644;LTT6749
LTT6745;LTT6745
GJ645;LTT6753
GJ1207;LTT6767
L268-67;LTT6840
GJ660;LTT6854
GJ660.1;LTT6861
GJ1212;LTT6865
LP687-17;LP687-17
L845-16;LTT6883
L989-38;LTT6924
GJ1218;LTT6933
GJ674;LTT6942
LHS3295;LTT6920
GJ676A;LTT6947
GJ680;LTT6988
GJ682;LTT7000
L204-148;L204-148
GJ690.1;LTT7050
GJ2130A;LTT7072
LTT7077;LTT7077
GJ693;LTT7067
L415-82;LTT7138
GJ701;LTT7180
L43-72;L43-72
LTT7246;LTT7246
GJ714;LTT7341
GJ2138;G155-29
GJ724;LTT7411
LHS5341;LHS5341
LTT7419;LTT7419
LTT7434;LTT7434
LTT7452;LTT7452
L345-091;L345-91
GJ729;LTT7462
LHS3413;LTT7454
2MASSJ18522528-3730363;L489-43
LHS469;LTT7491
HD175224;HD175224
GJ739;LTT7522
GJ750;LTT7629
GJ754;LTT7652
LHS475;LTT7606
L275-26;LTT7723
LP925-37;LP925-37
V*V375Pav;LTT7912
GJ781.1A;LTT7954
GJ784;LTT7999
L209-71;L209-71
GJ788.1;LTT8058
GJ791;LTT8097
GJ1252;LTT8083
L755-19;L755-19
LP567-63;LP567-63
BD-195899;LTT8193
GJ803;LTT8214
LHS3583;LTT8178
GJ808;LTT8234
LP816-60;LP816-60
LP756-19;LTT8281
GJ811.1;LTT8293
GJ816;LTT8338
GJ2151;LTT8340
GJ817;LTT8359
GJ821;LTT8393
LHS3639;LTT8406
GJ825;LTT8438
GJ828.2;LTT8519
L714-46;LTT8526
GJ831;LTT8556
GJ832;LTT8573
LHS512;LTT8614
GJ1263;LTT8692
GJ1264;LTT8698
L427-34;LTT8708B
LHS3719;LTT8706
GJ842;LTT8780
GJ843;LTT8805
LHS3746;LTT8811
LHS3748;LTT8822
GJ849;LTT8889
LP875-68;BD-225866
GJ855;LTT8995
LHS3804;LTT9012
LP876-34;CD-2515988
GJ864;LTT9099
L645-74;LTT9123
GJ865;LTT9113
GJ866;LTT9122
GJ867;LTT9128
GJ874;LTT9200
LP932-81;LP932-81
LHS5394;LHS5394
GJ876;LTT9244
GJ877;LTT9267
GJ887;LTT9348
LTT9388;LTT9388
LHS3909;LHS3909
LDS5060;**LDS5060
GJ1284;LTT9567
LTT9582;LTT9582
LTT9596;LTT9596
LTT9634;LTT9634
LTT9635;LTT9635
L26-27;LTT9759
GJ912;LTT9789
LP764-40;LP764-40
LTT9828;LTT9828
LHS4058;LTT9829
LP381-4;-
LP453-31;-
LP382-56;-
LP465-84;-
